step,mid_price,best_bid,best_ask,spread,position_qty,gross_pnl,net_pnl
0,0.0000,10000,,,0,0.0000,0.0000
1,10001.0000,10000,10002,2,0,0.0000,0.0000
2,10001.0000,10000,10002,2,0,0.0000,0.0000
3,10000.5000,10000,10001,1,0,0.0000,0.0000
4,10000.5000,10000,10001,1,0,0.0000,0.0000
5,10000.5000,10000,10001,1,0,0.0000,0.0000
6,10000.5000,10000,10001,1,0,0.0000,0.0000
7,10000.5000,10000,10001,1,0,0.0000,0.0000
8,10000.5000,10000,10001,1,0,0.0000,0.0000
9,10000.5000,10000,10001,1,0,0.0000,0.0000
10,10000.5000,10000,10001,1,0,0.0000,0.0000
11,10000.5000,10000,10001,1,0,0.0000,0.0000
12,10000.5000,10000,10001,1,0,0.0000,0.0000
13,10000.5000,10000,10001,1,0,0.0000,0.0000
14,10000.5000,10000,10001,1,0,0.0000,0.0000
15,10001.0000,10000,10002,2,0,0.0000,0.0000
16,10001.0000,10000,10002,2,0,0.0000,0.0000
17,10000.5000,10000,10001,1,0,0.0000,0.0000
18,10000.5000,10000,10001,1,0,0.0000,0.0000
19,10001.0000,10000,10002,2,0,0.0000,0.0000
